app_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1002540,1122770,290380,822610,562520,1082650,765160,1138810,770690,456750,1158990,449180,399900,476460,448470,844620,1154350,910470,906310,1171440,1003320
1002560,999990,444550,444520,444490,444480,444470,444440,444430,444420,444410,444350,444330,444320,444280,444270,444260,444250,444220,444210,444190
1002580,678870,683880,983890,386260,388420,843730,684170,428020,1003010,770560,451980,916620,752300,858360,856730,709020,527750,664660,794780,730360
1002600,389270,1012460,493790,581650,747990,869600,697910,526890,953550,514580,509860,718220,878140,1132490,510910,718590,845750,1107040,868440,755130
1002610,437720,825550,490390,1086030,1127450,559610,1170290,828380,568300,978870,1151060,489240,844660,938960,1009950,1105770,499110,1155720,664620,1138530
1002630,961920,970560,771340,846820,899630,1153950,605190,416630,1084920,1010240,595550,482990,661390,1013180,910630,2400,567320,976020,984470,911040
1002650,485670,1086410,1179010,979390,294680,828890,294690,294650,288140,932310,468320,294700,1097300,989000,284000,643590,831910,572160,725960,220660
1002670,904740,766000,770790,700880,1124060,12660,718220,244030,746220,467350,880340,852920,696400,991430,949050,863980,605860,1117970,758790,884240
1002690,284750,391410,658620,794820,1138060,1010660,532690,949930,1002750,569220,502280,431910,774651,1116490,998930,885940,444710,990240,846670,490230
1002750,658620,391410,949930,1010660,569220,502280,774651,846670,490230,676520,429720,1169490,397720,532690,766700,214790,694660,1013400,661990,1183740
1002800,825450,791740,780260,952370,692270,436260,665890,568670,486460,567260,31830,427550,928390,430080,533280,583760,959030,457770,384500,293420
1002830,858840,857700,843820,875160,1125250,1111810,511330,604830,569900,658500,426210,712890,438730,1120680,679690,620130,49800,1123340,960660,848300
1002850,999990,443890,444520,444490,444480,444470,444440,444430,444420,444410,444350,444330,444320,444280,444270,444260,444250,444220,444210,444190
1002860,728920,890180,958320,916150,781610,943440,844250,885790,859380,863920,1155590,836690,933770,241300,494820,844310,744600,1011440,838530,292780
1002890,960130,856620,1137770,995720,869100,850710,1140950,431300,1011300,846830,873090,561390,970300,451350,386260,868180,1142500,526960,1166120,959770
1002900,658620,391410,32120,1010660,949930,1002750,569220,502280,774651,1167550,846670,490230,676520,238050,429720,1169490,532690,823690,1214250,214790
1002910,665410,445860,694610,790630,533470,685120,500360,615070,1086260,438820,991660,850550,692190,869500,1161160,499900,658120,424750,420570,701950
1002920,579780,953920,669440,857600,845870,594160,774651,580540,739730,1139000,1184040,403670,828050,658620,445140,453500,1123410,387970,391410,500380
1002930,1159640,958320,263400,715800,4780,875100,734290,933000,845200,1103340,46360,502520,1096930,844860,451670,45300,769950,581130,533920,22130
1002950,1133350,491000,1003700,497430,959760,522890,782120,1137360,1084420,453830,379760,758660,1116290,877910,423780,1151430,454970,1150790,768820,408340
1002960,1131990,1117900,1123790,674860,911310,837940,396680,983050,434730,243040,840170,999480,919300,568780,763790,933690,1132010,605230,1008160,1158660
1002970,730030,828590,828050,1176020,953760,293940,843820,865370,879410,1163170,974750,430280,823700,384280,497730,985330,842530,855850,1174570,22000
1002980,678920,1175970,1161300,262850,579760,1170640,2210,841870,610620,513890,751280,780740,495960,1107580,283660,616030,780690,794830,431280,879450
1003000,442810,257990,870160,438020,593620,1010330,1008070,795490,1131270,20,402970,391070,959410,511340,576290,497860,1122870,684130,500870,566050
1003010,856730,764390,831560,844420,978910,760860,465720,1154320,834140,515690,944740,834060,849880,684930,1173500,758250,495200,385590,862460,948510
1003020,964110,974670,533540,440810,1132020,989780,980090,933920,1142870,1086070,656190,868980,416360,899540,1084400,889150,934990,735320,889460,965840
1003070,1183200,1082650,596590,423780,1155990,1148940,1122980,1139020,1090210,1132080,843400,1166320,932930,584040,1118790,501420,1176090,857600,1008370,764670
1003090,264060,32310,657900,283620,975640,580040,10240,1097790,1166840,513490,9010,595550,40320,615970,670230,284730,752690,1137470,989580,572330
1003190,403860,870140,838700,448930,738900,825490,1120690,1012030,889130,589250,580570,1008280,491420,206480,991680,473470,880400,915060,685120,714130
1003230,1147600,429060,1012650,1124070,746540,1151920,455190,427610,454870,455960,233110,1162730,381220,694480,559280,1122760,765040,602160,1107160,744750
1003260,885790,948690,786140,933030,1141510,935660,878440,746140,735650,999180,669740,1007080,868760,856050,420070,697730,239070,561740,1151860,39160
1003320,1171440,979530,1111030,1139140,1153690,1136960,1155270,1183590,1136710,399430,729740,685040,1185390,990940,529720,619590,534560,840380,1007940,690950
1003360,715840,734890,449090,849000,511340,1112960,965860,933770,454260,611120,840940,911640,587400,617030,935920,663390,706020,446990,1146280,883620
1003370,527420,695950,442810,462240,588690,291190,890340,576290,576020,1102880,560820,284910,952980,870160,438020,506900,827860,965640,215280,680480
1003400,1086260,478980,477200,708930,251210,782290,939580,890220,898340,1137700,845410,283040,526130,434140,567860,729470,491670,506780,874140,874630
1003450,766600,915120,2400,714300,449170,671390,510040,750740,390720,960700,679770,695990,745340,746420,874080,838740,600990,877730,529520,1148450
1003480,868440,671490,585180,949330,432290,1085660,676460,505400,971780,1170200,1179410,854030,1132860,411860,883810,1124390,854510,829250,719240,498000
1003490,1112150,491000,409100,385330,885220,904430,994340,690130,868980,790630,492270,1137040,719750,884290,1124380,498330,1155720,420330,251020,572040
1003520,1096910,1086810,944110,792760,494460,933070,830980,974670,1085310,834760,1010800,933920,466070,223710,934990,980090,1161200,688940,884320,946190
1003530,1134260,939750,434140,775590,783140,482440,453510,1096910,559170,965400,906590,844520,670210,1013000,953610,1140020,875430,451880,581370,869560
1003600,667410,995850,262850,579760,510390,959410,243160,695450,911040,506760,406970,581200,702340,831510,580040,713580,562320,448440,878410,958320
1003650,503830,739540,1107190,849970,442000,518320,985340,1146820,854680,658620,868370,695320,391410,479200,615180,1010660,949930,1002750,755580,764280
1003670,714570,713590,984080,502650,431300,430020,679820,971880,558780,985070,432780,436160,701810,898340,687760,995910,906240,560720,853830,284770
1003690,676320,562600,1162370,492600,826660,1010120,828440,462000,1178700,707560,735540,841260,825170,687900,939210,535980,739880,487030,1112430,978490
1003700,491000,1133350,1084420,1002950,497430,782120,379760,1150790,453830,454970,758660,503080,408340,1151430,1137360,423780,251490,1116290,768820,898810
